,score
0,0.1
1,0.0
2,0.1
3,0.9
4,0.9
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.9
13,0.9
14,0.1
15,0.1
16,0.1
17,0.0
18,0.0
19,0.1
20,0.1
21,0.1
22,0.0
23,0.0
24,0.0
25,0.0
26,0.1
27,0.0
28,0.0
29,0.9
30,0.1
31,0.0
32,0.0
33,0.1
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.1
40,0.0
41,0.0
42,1.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.1
51,0.0
52,0.0
53,0.0
54,0.1
55,0.9
56,0.9
57,0.1
58,0.1
59,0.0
60,0.1
61,0.0
62,0.0
63,0.1
64,0.0
65,0.1
66,0.0
67,0.0
68,1.0
69,0.0
70,0.9
71,1.0
72,0.0
73,0.0
74,0.0
75,0.1
76,0.0
77,0.0
78,0.1
79,0.0
80,0.0
81,0.9
82,0.0
83,0.0
84,0.9
85,0.1
86,0.0
87,0.0
88,1.0
89,0.0
90,0.0
91,0.0
92,0.1
93,0.0
94,0.0
95,0.9
96,0.0
97,0.9
98,0.1
99,0.9
100,0.9
101,0.0
102,0.1
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.1
109,0.0
110,0.9
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.1
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,1.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.1
131,0.0
132,0.0
133,0.0
134,1.0
135,0.1
136,0.1
137,0.0
138,0.0
139,0.1
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.1
147,0.0
148,0.0
149,0.0
150,0.0
151,0.1
152,0.0
153,0.0
154,0.1
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.1
162,0.1
163,0.0
164,0.0
165,0.0
166,0.9
167,0.0
168,0.0
169,0.0
170,0.9
171,0.0
172,0.0
173,0.1
174,0.1
175,0.0
176,0.1
177,0.0
178,0.0
179,0.9
180,0.9
181,0.9
182,0.0
183,0.0
184,0.0
185,0.1
186,0.1
187,0.9
188,0.0
189,0.0
190,0.0
191,0.0
192,0.9
193,0.0
194,0.1
195,0.0
196,0.0
197,0.0
198,0.0
199,0.1
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.1
210,0.0
211,0.1
212,0.0
213,0.9
214,0.0
215,0.0
216,0.0
217,0.1
218,0.0
219,0.0
220,0.0
221,0.1
222,0.0
223,1.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.1
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.9
238,0.1
239,0.0
240,0.0
241,0.0
242,0.0
243,0.1
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,1.0
250,0.0
251,1.0
252,0.9
253,1.0
254,0.0
255,0.1
256,0.0
257,0.0
258,0.0
259,0.1
260,0.1
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.9
268,0.0
269,0.0
270,0.9
271,1.0
272,0.0
273,0.0
274,0.9
275,0.0
276,0.1
277,0.0
278,0.1
279,0.9
280,0.0
281,0.0
282,0.0
