,score
0,0.1
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.1
8,0.0
9,0.0
10,0.0
11,0.0
12,0.9
13,0.1
14,0.1
15,0.1
16,0.1
17,0.0
18,0.0
19,0.1
20,0.1
21,0.1
22,0.0
23,0.1
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.9
30,0.1
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.9
38,0.9
39,0.1
40,0.0
41,0.0
42,0.9
43,0.9
44,0.9
45,1.0
46,0.0
47,0.0
48,1.0
49,0.9
50,0.0
51,0.0
52,0.0
53,0.0
54,0.9
55,0.9
56,0.9
57,0.1
58,0.0
59,0.1
60,0.1
61,0.0
62,0.0
63,0.9
64,0.0
65,1.0
66,0.9
67,0.0
68,0.9
69,0.0
70,0.9
71,1.0
72,0.0
73,0.0
74,0.0
75,0.1
76,0.0
77,0.0
78,0.1
79,0.0
80,0.9
81,1.0
82,0.0
83,0.1
84,0.0
85,0.0
86,0.0
87,0.0
88,1.0
89,0.0
90,0.0
91,0.0
92,0.1
93,0.0
94,0.0
95,0.9
96,0.9
97,0.1
98,0.1
99,0.0
100,0.9
101,0.0
102,0.0
103,0.1
104,0.0
105,0.1
106,0.0
107,0.0
108,0.9
109,0.0
110,0.0
111,0.9
112,0.0
113,0.9
114,0.9
115,0.9
116,0.0
117,0.0
118,0.9
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.1
125,0.0
126,0.0
127,0.1
128,0.1
129,0.0
130,0.1
131,0.9
132,0.0
133,0.9
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.9
142,0.0
143,0.0
144,0.1
145,0.0
146,0.0
147,0.9
148,0.1
149,0.1
150,0.0
151,0.0
152,0.0
153,0.1
154,0.9
155,0.0
156,0.1
157,0.0
158,0.9
159,0.0
160,0.9
161,0.0
162,0.0
163,0.0
164,0.1
165,0.0
166,1.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.1
177,0.9
178,0.0
179,0.9
180,0.9
181,0.0
182,0.1
183,0.0
184,0.0
185,0.1
186,0.0
187,0.0
188,0.0
189,0.1
190,0.1
191,0.0
192,0.0
193,0.1
194,0.9
195,0.0
196,0.0
197,0.0
198,0.9
199,0.0
200,0.9
201,0.1
202,0.0
203,0.0
204,0.9
205,0.0
206,0.0
207,0.1
208,0.0
209,0.0
210,0.9
211,0.0
212,0.0
213,0.9
214,1.0
215,0.9
216,0.1
217,0.0
218,0.0
219,0.1
220,0.0
221,0.1
222,0.9
223,1.0
224,1.0
225,0.0
226,0.0
227,0.0
228,0.9
229,0.9
230,0.0
231,0.1
232,0.9
233,0.9
234,0.1
235,0.0
236,0.1
237,0.9
238,0.0
239,0.0
240,0.0
241,0.1
242,0.0
243,0.1
244,0.0
245,0.0
246,1.0
247,0.0
248,0.1
249,0.1
250,0.0
251,0.9
252,0.9
253,0.0
254,0.1
255,0.0
256,0.0
257,0.9
258,1.0
259,0.1
260,0.1
261,0.0
262,0.1
263,0.1
264,0.9
265,0.0
266,0.9
267,0.9
268,0.0
269,0.0
270,1.0
271,1.0
272,0.0
273,0.1
274,0.9
275,0.0
276,0.0
277,0.9
278,0.0
279,0.9
280,0.0
281,0.0
282,0.0
