,score
0,0.0
1,0.0
2,0.1
3,0.0
4,0.0
5,0.1
6,0.0
7,0.1
8,0.0
9,0.0
10,0.0
11,0.0
12,0.9
13,0.1
14,0.1
15,0.1
16,0.1
17,0.0
18,0.0
19,0.1
20,0.1
21,0.0
22,0.0
23,0.1
24,0.0
25,0.0
26,0.1
27,0.0
28,0.0
29,0.9
30,0.1
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.9
38,0.9
39,0.0
40,0.0
41,1.0
42,1.0
43,0.0
44,0.0
45,1.0
46,0.0
47,0.0
48,1.0
49,0.0
50,0.0
51,0.1
52,0.0
53,0.0
54,0.9
55,0.9
56,0.9
57,0.1
58,0.0
59,0.1
60,0.0
61,0.9
62,0.1
63,0.9
64,0.0
65,1.0
66,0.9
67,0.0
68,0.9
69,0.0
70,0.9
71,1.0
72,0.0
73,0.0
74,0.0
75,0.1
76,0.1
77,0.0
78,0.1
79,0.0
80,1.0
81,0.0
82,0.9
83,0.1
84,0.9
85,0.1
86,0.9
87,0.0
88,1.0
89,0.0
90,0.9
91,0.0
92,0.1
93,0.9
94,0.0
95,0.9
96,0.9
97,0.0
98,0.0
99,0.0
100,0.9
101,0.9
102,0.0
103,1.0
104,0.0
105,0.1
106,0.0
107,0.0
108,0.0
109,0.0
110,0.9
111,0.9
112,0.1
113,0.9
114,0.0
115,0.9
116,0.0
117,0.0
118,0.9
119,0.0
120,0.0
121,0.1
122,0.1
123,0.1
124,1.0
125,0.0
126,0.0
127,1.0
128,0.0
129,1.0
130,0.1
131,0.9
132,0.0
133,1.0
134,0.0
135,0.0
136,0.0
137,0.9
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.1
144,0.0
145,0.0
146,0.0
147,0.9
148,0.0
149,0.1
150,0.0
151,0.1
152,0.0
153,0.1
154,0.9
155,0.0
156,0.9
157,0.0
158,0.9
159,0.0
160,0.1
161,0.0
162,0.0
163,0.0
164,0.1
165,0.0
166,1.0
167,0.9
168,0.0
169,0.0
170,0.9
171,1.0
172,0.0
173,0.1
174,0.0
175,0.0
176,0.0
177,0.9
178,0.0
179,0.9
180,0.9
181,0.0
182,0.0
183,0.0
184,0.0
185,0.1
186,0.0
187,0.0
188,0.0
189,0.1
190,0.1
191,0.0
192,0.1
193,0.0
194,0.9
195,0.0
196,0.0
197,0.0
198,0.9
199,0.0
200,0.9
201,0.0
202,0.0
203,0.0
204,0.9
205,0.0
206,0.1
207,0.0
208,0.0
209,0.9
210,0.9
211,0.1
212,0.0
213,0.9
214,1.0
215,0.9
216,0.1
217,0.1
218,0.1
219,0.1
220,0.0
221,0.0
222,0.0
223,1.0
224,1.0
225,0.0
226,0.0
227,0.0
228,0.0
229,1.0
230,0.0
231,0.0
232,0.0
233,0.9
234,0.1
235,0.0
236,0.0
237,0.9
238,0.9
239,0.9
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,1.0
247,0.0
248,0.9
249,0.1
250,0.0
251,0.9
252,0.9
253,0.0
254,0.1
255,0.1
256,0.0
257,0.0
258,1.0
259,0.1
260,1.0
261,1.0
262,0.1
263,0.0
264,0.9
265,0.0
266,0.0
267,0.9
268,0.9
269,0.0
270,0.9
271,1.0
272,0.0
273,0.9
274,0.9
275,0.0
276,0.1
277,0.9
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.9
284,0.0
285,1.0
286,0.1
287,0.0
288,0.0
289,0.9
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.9
296,0.0
297,0.1
298,0.1
299,0.0
300,0.0
301,0.9
302,0.0
303,1.0
304,0.0
305,0.9
306,1.0
307,0.0
308,0.9
309,0.1
310,0.0
311,0.0
312,1.0
313,0.0
314,0.0
315,1.0
316,0.0
317,0.0
318,0.0
319,0.0
320,1.0
321,0.0
322,0.0
323,0.1
324,0.0
325,0.9
326,0.0
327,0.9
328,0.9
329,0.0
330,0.9
331,0.0
332,0.9
333,0.0
334,0.0
335,0.0
336,0.0
337,0.9
338,0.0
339,0.9
340,0.1
341,0.9
342,0.0
343,0.0
344,0.1
345,0.0
346,0.1
347,0.9
348,0.0
349,0.9
350,0.9
351,0.0
352,0.0
353,0.9
354,0.0
355,0.9
356,0.0
357,0.9
358,0.9
359,0.1
360,0.0
361,0.9
362,0.0
363,0.0
364,0.9
365,0.0
366,0.0
367,0.0
368,0.1
369,0.0
370,0.1
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,1.0
377,0.1
378,0.9
379,0.9
380,0.0
381,0.9
382,0.9
383,0.0
384,0.1
385,0.1
386,0.9
387,0.0
388,0.0
389,0.1
390,0.0
391,0.0
392,0.9
393,0.9
394,0.0
395,0.0
396,0.0
397,0.9
398,0.9
399,0.1
400,0.0
401,0.0
402,0.0
403,0.0
404,0.9
405,0.9
406,0.0
407,0.0
408,1.0
409,0.9
410,0.0
411,0.0
412,0.9
413,0.0
414,0.9
415,0.0
416,0.0
417,0.1
418,0.9
419,0.1
420,0.0
421,0.1
422,0.1
423,0.0
424,0.0
425,1.0
426,0.0
427,0.0
428,0.9
429,0.0
430,0.1
431,0.9
432,0.0
433,0.0
434,0.1
435,1.0
436,0.9
437,0.0
438,0.0
439,0.0
440,0.1
441,0.0
442,0.1
443,0.0
444,0.1
445,0.1
446,0.0
447,0.0
448,0.0
449,1.0
450,1.0
451,0.0
452,0.1
453,0.0
454,0.0
455,0.9
456,0.1
457,1.0
458,0.0
459,0.0
460,0.1
461,0.0
462,0.1
463,0.9
464,0.0
465,0.9
466,0.0
467,0.1
468,0.0
469,1.0
470,0.0
471,0.9
472,0.9
473,0.0
474,0.9
475,0.0
476,0.0
477,0.9
478,0.9
479,0.0
480,0.0
481,0.9
482,1.0
483,0.0
484,0.0
485,0.0
486,0.9
487,0.0
488,0.0
489,1.0
490,0.0
491,0.0
492,0.0
493,1.0
494,0.0
495,0.0
496,0.0
497,0.9
498,0.9
499,0.9
500,0.0
501,0.1
502,0.1
503,0.0
504,0.0
505,0.0
506,0.1
507,0.1
508,0.9
509,0.0
510,0.1
511,0.9
512,0.1
513,0.0
514,0.0
515,0.9
516,0.9
517,0.1
518,0.1
519,0.0
520,1.0
521,0.9
522,0.9
523,0.9
524,0.1
525,0.0
526,0.9
527,0.0
528,0.0
529,0.1
530,0.9
531,0.0
532,0.0
533,0.0
534,0.0
535,0.9
536,0.9
537,1.0
538,0.1
539,0.1
540,0.0
541,0.9
542,0.0
543,0.9
544,1.0
545,0.0
546,0.9
547,0.0
548,0.9
549,0.1
550,0.9
551,0.0
552,0.1
553,0.9
554,0.0
555,0.0
556,1.0
557,0.0
558,0.9
559,0.0
560,0.9
561,0.9
562,0.0
563,0.0
564,0.9
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.9
571,1.0
