,score
0,0.0
1,0.0
2,0.0
3,0.0
4,0.9
5,0.0
6,1.0
7,0.0
8,0.9
9,0.0
10,0.1
11,0.0
12,0.9
13,0.9
14,0.1
15,0.0
16,1.0
17,0.9
18,0.0
19,0.0
20,1.0
21,0.9
22,0.0
23,0.0
24,0.0
25,1.0
26,0.1
27,0.9
28,0.9
29,0.9
30,0.9
31,0.9
32,0.9
33,0.1
34,0.0
35,0.1
36,0.9
37,0.9
38,1.0
39,0.0
40,0.0
41,1.0
42,0.9
43,0.9
44,0.9
45,1.0
46,0.1
47,0.1
48,0.9
49,0.9
50,0.1
51,0.1
52,0.9
53,0.0
54,0.9
55,0.9
56,0.9
57,0.0
58,0.0
59,0.1
60,0.1
61,1.0
62,1.0
63,0.9
64,0.1
65,1.0
66,1.0
67,0.9
68,1.0
69,0.0
70,0.9
71,1.0
72,0.0
73,0.0
74,1.0
75,0.0
76,0.1
77,0.0
78,0.1
79,0.0
80,0.9
81,0.0
82,0.9
83,0.1
84,0.0
85,0.0
86,0.0
87,0.0
88,1.0
89,0.9
90,0.9
91,0.0
92,0.1
93,0.9
94,0.1
95,0.9
96,0.9
97,0.0
98,0.0
99,0.0
100,0.9
101,0.9
102,0.0
103,0.1
104,0.1
105,0.0
106,0.0
107,0.9
108,0.9
109,0.0
110,0.9
111,0.9
112,0.0
113,0.1
114,0.0
115,0.9
116,0.0
117,0.9
118,0.0
119,0.0
120,0.0
121,0.1
122,0.0
123,0.1
124,1.0
125,0.0
126,0.9
127,0.0
128,0.0
129,0.0
130,0.0
131,0.9
132,0.1
133,1.0
134,0.0
135,0.1
136,0.0
137,0.0
138,0.0
139,0.1
140,0.0
141,0.0
142,0.1
143,0.0
144,0.0
145,0.0
146,0.0
147,1.0
148,0.0
149,0.1
150,0.1
151,0.1
152,0.1
153,0.0
154,0.9
155,0.1
156,0.9
157,0.0
158,0.9
159,0.0
160,0.0
161,0.0
162,0.9
163,0.0
164,0.0
165,0.0
166,0.1
167,0.9
168,0.0
169,0.0
170,0.9
171,0.9
172,0.1
173,0.1
174,0.1
175,0.0
176,0.0
177,1.0
178,0.9
179,0.9
180,1.0
181,0.1
182,0.1
183,0.0
184,0.1
185,0.1
186,0.1
187,0.9
188,0.1
189,1.0
190,0.0
191,0.9
192,0.0
193,0.0
194,1.0
195,0.0
196,0.0
197,0.0
198,1.0
199,0.1
200,0.9
201,0.0
202,0.1
203,0.0
204,0.9
205,0.0
206,0.0
207,0.0
208,0.9
209,0.9
210,0.9
211,0.0
212,0.1
213,0.9
214,0.1
215,1.0
216,0.1
217,0.0
218,0.0
219,0.9
220,0.9
221,0.1
222,0.9
223,1.0
224,1.0
225,0.9
226,0.0
227,0.0
228,0.9
229,0.9
230,1.0
231,1.0
232,0.0
233,0.0
234,0.0
235,0.1
236,0.0
237,0.0
238,0.9
239,0.9
240,0.0
241,0.0
242,0.9
243,0.0
244,0.0
245,0.0
246,0.1
247,0.0
248,0.9
249,0.1
250,0.0
251,1.0
252,0.9
253,0.9
254,0.0
255,0.0
256,0.0
257,0.0
258,1.0
259,0.1
260,0.1
261,1.0
262,0.9
263,0.1
264,1.0
265,0.0
266,0.0
267,0.9
268,0.1
269,0.0
270,0.1
271,1.0
272,0.0
273,0.9
274,0.9
275,0.0
276,0.1
277,0.0
278,0.0
279,0.9
280,0.0
281,0.1
282,0.0
283,0.9
284,0.0
285,0.9
286,0.1
287,0.0
288,0.1
289,1.0
290,0.9
291,0.0
292,0.0
293,0.1
294,0.1
295,0.9
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.9
302,0.1
303,1.0
304,0.0
305,0.0
306,1.0
307,0.0
308,1.0
309,1.0
310,0.0
311,0.9
312,1.0
313,0.0
314,0.0
315,1.0
316,0.1
317,0.1
318,0.1
319,0.1
320,1.0
321,0.0
322,0.0
323,0.1
324,0.0
325,0.0
326,0.0
327,1.0
328,0.9
329,0.1
330,1.0
331,0.0
332,0.9
333,0.0
334,1.0
335,1.0
336,0.0
337,0.0
338,0.0
339,0.9
340,0.1
341,0.9
342,0.1
343,0.0
344,0.1
345,1.0
346,0.0
347,0.0
348,0.0
349,0.9
350,0.0
351,0.0
352,0.9
353,1.0
354,0.1
355,0.1
356,0.0
357,0.9
358,0.9
359,0.0
360,0.9
361,0.0
362,0.0
363,0.9
364,0.0
365,0.0
366,0.0
367,1.0
368,1.0
369,0.1
370,0.0
371,0.0
372,0.1
373,0.9
374,0.9
375,0.0
376,0.9
377,0.0
378,0.9
379,1.0
380,0.0
381,0.9
382,0.9
383,0.0
384,0.1
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.9
393,0.9
394,0.0
395,0.0
396,0.0
397,0.9
398,1.0
399,0.0
400,0.1
401,0.0
402,0.0
403,0.0
404,1.0
405,0.0
406,0.0
407,0.0
408,1.0
409,0.0
410,0.0
411,0.0
412,0.9
413,0.0
414,0.9
415,0.1
416,0.0
417,0.1
418,0.0
419,0.1
420,0.9
421,0.1
422,0.0
423,0.0
424,0.0
425,1.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.1
434,0.0
435,0.9
436,1.0
437,1.0
438,0.0
439,0.0
440,0.0
441,0.1
442,1.0
443,0.0
444,0.0
445,0.9
446,0.0
447,0.0
448,0.0
449,0.9
450,1.0
451,0.0
452,0.1
453,0.9
454,0.0
455,0.9
456,1.0
457,1.0
458,0.9
459,0.1
460,1.0
461,0.1
462,0.1
463,0.0
464,1.0
465,1.0
466,0.1
467,0.1
468,0.1
469,1.0
470,0.0
471,0.9
472,0.9
473,0.0
474,0.9
475,0.0
476,0.9
477,0.9
478,1.0
479,0.0
480,0.9
481,0.1
482,1.0
483,0.0
484,0.0
485,0.0
486,0.9
487,0.0
488,0.1
489,1.0
490,0.0
491,0.0
492,0.1
493,0.1
494,0.0
495,0.0
496,0.0
497,0.0
498,0.9
499,1.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.1
505,0.0
506,0.9
507,0.1
508,0.9
509,0.0
510,1.0
511,0.9
512,0.0
513,0.0
514,0.1
515,0.9
516,1.0
517,0.9
518,1.0
519,0.9
520,0.1
521,1.0
522,0.0
523,1.0
524,0.0
525,0.0
526,0.9
527,0.9
528,0.0
529,0.0
530,1.0
531,0.0
532,0.0
533,0.9
534,0.0
535,0.9
536,0.0
537,1.0
538,0.0
539,0.0
540,1.0
541,0.9
542,0.0
543,0.9
544,0.9
545,0.1
546,0.0
547,0.0
548,0.0
549,1.0
550,0.9
551,0.1
552,0.9
553,1.0
554,0.9
555,0.0
556,0.9
557,1.0
558,0.9
559,0.0
560,0.9
561,0.9
562,0.9
563,0.0
564,0.0
565,0.0
566,0.0
567,0.9
568,0.0
569,0.0
570,0.9
571,1.0
