,score
0,0.0
1,0.9
2,0.9
3,0.0
4,0.0
5,0.9
6,0.0
7,1.0
8,0.9
9,0.1
10,0.1
11,0.9
12,0.9
13,0.0
14,0.9
15,0.9
16,0.0
17,0.9
18,0.9
19,0.9
20,0.9
21,0.1
22,0.9
23,0.0
24,0.0
25,0.1
26,0.9
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.9
33,0.0
34,1.0
35,0.0
36,1.0
37,0.1
38,0.0
39,1.0
40,0.0
41,0.1
42,0.1
43,0.0
44,0.1
45,0.0
46,0.9
47,1.0
48,0.9
49,0.0
50,1.0
51,0.9
52,1.0
53,0.9
54,0.9
55,0.0
56,0.9
57,0.9
58,0.9
59,0.0
60,0.0
61,0.1
62,1.0
63,0.1
64,0.0
65,0.9
66,1.0
67,0.0
68,0.9
69,0.0
70,0.0
71,0.0
72,0.1
73,0.0
74,0.0
75,1.0
76,0.0
77,0.9
78,0.9
79,0.0
80,0.9
81,0.1
82,0.0
83,0.1
84,0.9
85,0.0
86,0.0
87,0.1
88,0.0
89,0.0
90,1.0
91,1.0
92,0.0
93,1.0
94,0.1
95,0.9
96,0.1
97,0.9
98,1.0
99,0.1
100,0.0
101,0.9
102,0.1
103,0.9
104,0.0
105,0.1
106,0.1
107,0.0
108,0.9
109,1.0
110,0.1
111,0.0
112,0.0
113,0.9
114,0.1
115,0.0
116,0.0
117,0.9
118,0.1
119,0.0
120,0.0
121,1.0
122,0.9
123,1.0
124,0.9
125,1.0
126,0.0
127,0.9
128,0.0
129,0.0
130,0.0
131,0.0
132,0.9
133,0.1
134,0.9
135,0.0
136,0.0
137,0.9
138,0.0
139,0.9
140,0.9
141,0.0
142,0.0
143,0.0
144,0.9
145,0.0
146,0.1
147,0.0
148,0.0
149,0.0
150,0.0
151,0.1
152,0.0
153,0.0
154,0.9
155,0.0
156,0.0
157,0.9
158,0.9
159,1.0
160,0.0
161,1.0
162,0.0
163,0.0
164,0.9
165,0.0
166,1.0
167,0.1
168,1.0
169,0.0
170,0.0
171,0.9
172,0.1
173,0.9
174,0.9
175,0.0
176,0.9
177,0.9
178,0.1
179,0.1
180,0.9
181,1.0
182,1.0
183,0.0
184,0.1
185,1.0
186,0.9
187,0.9
188,0.1
189,0.9
190,1.0
191,0.0
192,0.1
193,0.9
194,0.0
195,1.0
196,0.9
197,0.0
198,0.9
199,0.9
200,0.0
201,0.0
202,0.9
203,0.0
204,0.1
205,1.0
206,0.1
207,1.0
208,1.0
209,0.0
210,0.0
211,0.0
212,0.9
213,0.9
214,0.0
215,0.1
216,0.1
217,0.1
218,0.1
219,0.0
220,0.0
221,0.0
222,0.1
223,0.1
224,0.1
225,0.0
226,0.9
227,1.0
228,0.0
229,0.1
230,0.1
231,0.0
232,0.0
233,0.1
234,0.0
235,1.0
236,0.9
237,0.9
238,1.0
239,0.0
240,0.0
241,0.1
242,0.0
243,0.1
244,0.0
245,0.9
246,0.0
247,0.9
248,0.0
249,0.0
250,1.0
251,0.0
252,0.9
253,0.0
254,0.0
255,0.1
256,0.9
257,0.0
258,0.0
259,0.9
260,1.0
261,0.0
262,0.0
263,0.0
264,0.9
265,0.0
266,1.0
267,1.0
268,0.0
269,0.9
270,0.0
271,0.1
272,0.1
273,0.9
274,0.0
275,0.9
276,0.0
277,0.0
278,1.0
279,0.0
280,0.0
281,0.0
282,1.0
283,0.1
284,0.0
285,0.0
286,0.1
287,0.1
288,0.9
289,1.0
290,0.0
291,0.1
292,0.0
293,0.1
294,0.0
295,0.0
296,0.9
297,0.0
298,1.0
299,0.0
300,0.0
301,0.0
302,0.1
303,0.0
304,1.0
305,1.0
306,0.1
307,1.0
308,0.0
309,0.9
310,0.0
311,0.1
312,0.1
313,0.9
314,0.0
315,1.0
316,0.0
317,0.0
318,0.1
319,0.1
320,0.0
321,1.0
322,0.0
323,1.0
324,0.9
325,0.1
326,0.0
327,0.0
328,0.0
329,1.0
330,0.9
331,1.0
332,1.0
333,1.0
334,0.1
335,0.0
336,0.0
337,0.9
338,0.9
339,0.0
340,0.0
341,0.0
342,0.0
343,0.9
344,0.9
345,0.1
346,0.9
347,1.0
348,0.0
349,0.9
350,0.9
351,0.9
352,0.1
353,0.0
354,0.0
355,0.0
356,0.9
357,0.9
358,0.0
359,0.0
360,0.0
361,1.0
362,0.0
363,1.0
364,0.1
365,0.0
366,0.1
367,1.0
368,0.0
369,0.9
370,1.0
371,0.9
372,0.9
373,0.1
374,0.9
375,1.0
376,0.0
377,0.0
378,0.0
379,1.0
380,0.0
381,0.9
382,1.0
383,1.0
384,0.0
385,0.9
386,0.0
387,0.0
388,1.0
389,1.0
390,0.9
391,0.1
392,0.0
393,1.0
394,0.9
395,0.9
396,0.0
397,0.9
398,0.9
399,0.0
400,0.1
401,0.9
402,0.0
403,0.1
404,0.0
405,0.9
406,0.0
407,0.0
408,0.0
409,0.1
410,0.0
411,0.1
412,1.0
413,0.0
414,0.1
415,0.9
416,0.0
417,1.0
